619,473,359,1044,1029,1085,300,481,2
477,368,308,936,873,966,244,392,2
405,317,264,872,758,842,210,320,2
319,261,243,869,650,724,187,253,2
245,204,198,824,532,631,150,197,2
185,165,192,820,554,675,146,154,2
166,137,164,823,525,620,136,129,2
150,122,151,833,533,654,129,117,2
132,109,136,786,510,624,122,110,2
124,104,109,718,500,614,111,101,2
133,101,76,702,478,593,94,101,2
130,103,77,646,470,592,86,101,2
133,96,71,632,496,613,72,100,2
136,97,72,580,484,603,70,97,2
132,97,72,576,517,643,66,90,2
127,96,68,566,482,595,67,94,2
125,93,66,561,527,658,66,90,2
129,98,70,574,462,594,62,93,2
134,100,70,566,512,639,70,94,2
130,92,67,577,478,602,66,96,2
129,100,69,558,483,615,75,92,2
139,103,69,580,485,599,79,96,2
137,103,61,550,529,646,80,99,2
134,101,60,585,498,633,72,99,2
140,105,64,1245,490,628,74,112,2
158,102,72,1515,534,710,76,124,2
163,114,82,1701,503,673,83,145,2
168,122,84,1797,505,706,90,154,2
185,133,90,1849,498,688,96,168,2
196,141,93,1500,527,741,109,169,2
198,150,94,1241,526,686,108,173,2
202,146,83,947,590,718,104,168,2
201,142,85,738,669,712,129,172,2
192,136,84,535,821,721,149,171,2
183,132,80,486,878,725,157,172,2
170,122,78,421,902,707,158,176,2
167,126,80,464,871,757,166,167,2
163,138,88,477,775,712,146,159,2
159,142,92,517,605,754,120,155,2
150,139,94,482,486,731,97,154,2
142,137,88,477,393,776,97,139,2
132,129,84,428,340,738,78,137,2
129,113,81,391,339,786,84,138,2
125,101,71,347,308,755,85,129,2
125,99,69,322,332,737,84,124,2
133,104,72,318,319,756,74,124,2
136,106,72,301,302,723,84,122,2
133,107,66,313,311,685,96,116,2
145,109,66,276,312,681,102,117,2
158,108,72,307,255,683,117,111,2
156,108,81,313,220,635,127,108,2
152,103,80,321,213,625,121,102,2
160,113,80,346,171,598,111,96,2
159,121,84,369,155,576,106,94,2
154,124,80,363,129,564,89,94,2
148,119,75,353,103,519,71,93,2
154,127,82,422,89,542,76,102,2
148,119,82,388,85,551,69,107,2
148,112,79,381,82,546,68,106,2
139,109,82,376,80,541,73,113,2
148,111,79,387,84,567,78,113,2
143,105,81,316,93,579,84,110,2
143,104,81,308,93,608,88,103,2
141,102,83,309,115,612,107,104,2
145,105,76,295,118,620,113,98,2
147,109,77,301,119,619,120,96,2
152,106,69,293,111,614,113,99,2
155,105,68,309,102,587,110,103,2
147,109,66,296,82,597,92,109,2
154,112,68,298,78,587,86,109,2
151,110,74,318,71,565,74,114,2
144,110,77,310,70,554,72,110,2
143,116,84,338,71,540,69,112,2
153,118,85,326,70,537,68,105,2
148,113,88,368,72,542,66,110,2
145,109,82,339,76,556,73,107,2
146,114,84,345,82,538,74,112,2
150,112,80,326,88,550,75,113,2
145,105,77,346,99,539,76,113,2
137,105,74,309,101,530,73,112,2
147,113,80,299,100,520,72,111,2
148,113,74,341,100,546,79,111,2
143,107,75,329,96,527,77,108,2
144,115,79,334,93,519,80,111,2
155,124,79,326,97,531,84,106,2
153,120,72,379,96,538,83,110,2
149,117,72,338,94,523,76,108,2
147,124,70,350,98,524,79,110,2
154,119,72,335,98,554,77,113,2
152,109,73,361,99,531,75,118,2
149,105,71,319,96,513,71,117,2
149,106,75,339,104,517,73,114,2
151,101,76,333,103,534,70,110,2
143,107,70,342,103,493,69,103,2
136,110,72,331,101,506,66,95,2
143,111,75,317,103,538,66,95,2
145,108,79,349,99,523,62,101,2
147,105,78,323,98,497,66,105,2
